index,RA,DEC,X_mos,Y_mos,mag130,dmag130,mag139,dmag139,color,dcolor,Delta130,Delta139,slit_width,slit_size,slit_left,slit_right
466,83.831538,-5.451281,4380.231676,8131.004292,14.3684,0.00397479,14.0919,0.00371285,0.276614,0.00376541,0.00788116,0.00738621,7,3,83.83136710156249,83.8317088984375
1280,83.833818,-5.434472,4316.464342,8602.851933,14.5753,0.0207997,14.3653,0.0504187,0.186983,0.00543642,0.0463123,0.110115,7,3,83.83364710156249,83.8339888984375
1275,83.83476,-5.43815,4290.1486,8499.580317,13.8438,0.0256376,14.1973,0.00832686,-0.341519,0.0367774,0.0605803,0.0216436,7,3,83.8345891015625,83.8349308984375
1274,83.836302,-5.437722,4247.071012,8511.607338,13.4179,0.0163162,13.485,0.0120317,-0.0570543,0.0219665,0.0387363,0.031497,7,3,83.8361311015625,83.8364728984375
465,83.840085,-5.454054,4141.41394,8053.15744,13.9501,0.0747845,14.1224,0.0613419,-0.163305,0.0192873,0.239199,0.173382,7,3,83.8399141015625,83.8402558984375
460,83.840095,-5.449353,4141.1106,8185.099997,12.6606,0.0254197,12.7183,0.00245142,-0.0581901,0.0221089,0.0799999,0.00605583,7,3,83.8399241015625,83.84026589843751
467,83.840342,-5.447921,4134.2029,8225.292438,14.6723,0.00850835,14.9777,0.0197153,-0.306789,0.0205286,0.026,0.0570002,7,3,83.8401711015625,83.84051289843751
1262,83.84051,-5.445639,4129.507958,8289.344993,12.7535,0.014716,12.6565,0.0231986,0.10765,0.00467286,0.0292931,0.0549994,7,3,83.84033910156249,83.8406808984375
1278,83.843555,-5.43634,4044.371567,8550.371822,14.2814,0.00323455,14.5521,0.000148357,-0.269151,0.00177863,0.00643921,0.000209808,7,3,83.84338410156249,83.8437258984375
1276,83.846214,-5.437546,3970.076665,8516.502743,14.03,0.0240643,14.2769,0.0288894,-0.246927,0.00619402,0.0560656,0.069747,7,3,83.8460431015625,83.8463848984375
1279,83.846752,-5.4318,3955.019593,8677.80817,14.3553,0.0333328,14.5182,0.0194728,-0.172942,0.01648,0.0858145,0.052,7,3,83.84658110156249,83.8469228984375
1259,83.84855,-5.440837,3904.82738,8424.110077,12.3663,0.0106758,12.192,0.0106771,0.187264,0.0179584,0.0209789,0.0207253,7,3,83.8483791015625,83.8487208984375
1283,83.851371,-5.446553,3826.001399,8263.674275,14.7537,0.0131751,15.0117,0.0265685,-0.261319,0.0159401,0.0341177,0.0731258,7,3,83.8512001015625,83.8515418984375
1266,83.851376,-5.433417,3825.834836,8632.395292,12.916,0.0154523,13.0512,0.0129238,-0.131449,0.00379438,0.0392923,0.0354214,7,3,83.8512051015625,83.8515468984375
